user_id,email,password_hash,role,created_at,last_login,status
usr-0001,sarah.j@glowupbeauty.com,$2a$12$NbrnTP3f...Abn,BRAND,2024-04-08 03:07:34,2025-05-30 05:24:09,ACTIVE
usr-0002,mike.c@technestusa.com,$2a$12$bmOHnKYa...XRv,BRAND,2024-01-31 04:35:13,2025-05-11 10:51:31,ACTIVE
usr-0003,emily.d@bloomwellness.co,$2a$12$7uff0LYT...H8x,BRAND,2024-04-17 04:41:44,2025-05-15 05:34:38,ACTIVE
usr-0004,lena.t@styleforward.com,$2a$12$ZM1JRcor...eog,BRAND,2024-02-23 23:27:03,2025-05-23 00:15:40,ACTIVE
usr-0005,james.w@freshfitnutrition.com,$2a$12$Nwwmq6OL...kTk,BRAND,2024-03-14 16:23:25,2025-05-14 02:30:43,ACTIVE
usr-0006,madison.s@starfaceus.com,$2a$12$9NIQ0Wob...tqn,BRAND,2024-04-20 03:15:02,2025-06-04 20:25:50,ACTIVE
usr-0007,carlos.h@aquaglow.com,$2a$12$tOy4CqpI...qK3,BRAND,2024-11-03 02:40:57,2025-05-18 13:45:23,ACTIVE
usr-0008,olivia.m@puritybeauty.com,$2a$12$n9FfcgMX...Adx,BRAND,2024-11-29 18:32:28,2025-05-26 16:27:46,PENDING
usr-0009,ryan.n@lumiskinlabs.com,$2a$12$pI6Qh2UV...vsj,BRAND,2024-06-02 06:14:54,2025-06-05 01:17:53,ACTIVE
usr-0010,amber.c@glamsnap.com,$2a$12$2qFl41sN...LjV,BRAND,2024-12-27 11:22:36,2025-06-07 19:09:56,ACTIVE
usr-0011,alex.k@viralagency.com,$2a$12$54LEgw9Y...ooJ,AGENCY,2024-01-16 07:02:04,2025-05-05 03:47:36,ACTIVE
usr-0012,priya.p@contentco.us,$2a$12$TY8HhO6k...GL7,AGENCY,2024-06-29 09:03:02,2025-05-27 04:19:31,ACTIVE
usr-0013,dan.w@shopboostmedia.com,$2a$12$UQSyPx3B...pdb,AGENCY,2024-04-17 13:27:41,2025-05-12 04:06:11,ACTIVE
usr-0014,jessica.m@kolconnect.us,$2a$12$KaRdebuF...rEH,AGENCY,2024-12-01 13:36:47,2025-05-12 19:06:44,ACTIVE
usr-0015,leo.c@creatorhub.io,$2a$12$WYlgAACT...P9g,AGENCY,2024-11-04 08:42:08,2025-06-05 08:25:49,ACTIVE
usr-0016,marcus.c@mcstudios.com,$2a$12$v1plBArp...5B1,DIRECTOR,2024-04-16 20:42:06,2025-05-05 18:04:18,ACTIVE
usr-0017,ashley.r@arfilms.io,$2a$12$d9Z850kE...nyd,DIRECTOR,2024-03-14 14:08:33,2025-05-01 02:30:40,ACTIVE
usr-0018,jordan.s@jsmedia.co,$2a$12$9qWCA79I...Sjs,DIRECTOR,2024-01-12 08:33:06,2025-05-29 02:47:38,ACTIVE
usr-0019,taylor.b@tbcreatives.com,$2a$12$TdtdD5Gd...F0e,DIRECTOR,2024-06-27 09:26:28,2025-06-02 18:40:46,ACTIVE
usr-0020,morgan.l@mlproductions.com,$2a$12$1z6JJcfO...Jtq,DIRECTOR,2024-10-01 00:24:21,2025-05-12 14:05:21,PENDING
usr-0021,noah.h@novideo.io,$2a$12$qiOC56aM...IgH,DIRECTOR,2024-12-14 11:11:13,2025-05-13 20:58:51,ACTIVE
usr-0022,zoe.t@ztfilms.com,$2a$12$iveprBHs...8YG,DIRECTOR,2024-09-25 06:24:43,2025-06-02 04:54:13,ACTIVE
usr-0023,shop.sarah@creator.io,$2a$12$g2q3Ujrn...vQ0,KOL,2024-04-08 03:22:36,2025-05-24 17:10:51,ACTIVE
usr-0024,beautyalex@creator.io,$2a$12$p4dNZcui...8kB,KOL,2024-05-17 00:38:55,2025-05-21 18:17:28,ACTIVE
usr-0025,techmike.rv@gmail.com,$2a$12$Ig6QjcwI...Acw,KOL,2024-06-03 14:11:55,2025-05-02 22:28:51,ACTIVE
usr-0026,glow.nina@creator.io,$2a$12$3npgW2zM...j51,KOL,2024-06-04 07:44:37,2025-05-09 14:16:51,ACTIVE
usr-0027,fitjess.live@gmail.com,$2a$12$2bTu5X1Y...qWg,KOL,2024-06-16 00:56:22,2025-05-23 20:23:37,ACTIVE
usr-0028,homewithkate@creator.io,$2a$12$nYCsXobl...u17,KOL,2024-09-17 09:38:00,2025-05-18 01:06:53,ACTIVE
usr-0029,fashionfwd.tyler@gmail.com,$2a$12$Ny8H6h8l...7qg,KOL,2024-11-16 18:25:40,2025-05-17 18:45:16,SUSPENDED
usr-0030,admin@platform.io,$2a$12$TtLFxJpR...a5H,ADMIN,2023-12-01 00:00:00,2025-06-04 22:11:48,ACTIVE
